bPickedCard,CardNumber,NumChipsOnCard,ScoreDiff,bFitsInSeries,bFitsInSeriesAlmost,NumOwnedChips,NumHighCardsLeft,NumMediumCardsLeft,NumLowCardsLeft
1,33,0,22,0,0,3,2,4,11
1,24,0,2,0,0,3,1,4,11
1,32,0,-3,1,1,3,1,3,11
1,17,0,2,1,1,3,0,3,11
1,9,0,7,0,0,2,0,3,11
1,35,0,28,0,0,2,0,2,11
1,26,0,-2,0,0,2,0,1,11
1,5,0,1,1,1,1,0,1,11
1,10,0,-1,1,1,0,0,1,11
1,14,0,14,0,0,8,9,6,11
1,10,0,-4,0,0,7,9,6,11
1,35,0,39,0,0,7,9,5,11
0,22,0,-39,0,0,7,8,5,11
0,22,1,39,0,0,7,8,5,11
0,22,2,-39,0,0,7,8,5,10
1,22,0,61,0,0,7,8,5,13
0,21,0,-61,0,0,7,7,5,9
0,21,1,61,1,1,7,7,5,13
1,21,0,-40,0,0,7,7,5,10
0,24,0,40,0,1,7,6,5,12
0,24,1,-40,0,0,7,6,5,10
1,24,0,64,0,1,7,6,5,13
0,17,0,-64,0,0,7,5,5,9
0,17,1,64,0,0,7,5,5,13
1,17,0,-47,0,0,7,5,5,10
1,19,0,66,0,0,7,4,5,12
0,13,0,-66,0,0,6,4,5,10
0,13,1,66,0,0,6,4,5,12
0,13,2,-66,0,0,6,4,5,9
1,13,0,65,1,1,6,4,5,14
0,25,0,-65,0,0,6,3,5,8
0,25,1,65,1,1,6,3,5,14
0,25,2,-65,0,0,6,3,5,7
1,25,0,65,1,1,6,3,5,16
0,8,0,-65,0,0,5,3,5,6
0,8,1,65,0,0,5,3,5,16
0,8,2,-65,0,0,5,3,5,5
1,8,0,73,0,0,5,3,5,18
1,6,0,-67,0,0,4,3,5,4
0,28,0,67,0,0,4,3,4,18
0,28,1,-67,0,0,4,3,4,4
0,28,2,67,0,0,4,3,4,17
0,28,3,-67,0,0,4,3,4,3
1,28,0,95,0,0,4,3,4,20
0,34,0,-95,0,0,4,3,3,2
1,34,0,94,1,1,4,3,3,21
0,32,0,-94,0,0,4,3,2,1
0,32,1,94,0,1,4,3,2,21
1,32,0,-62,0,0,4,3,2,2
1,16,0,78,0,1,4,2,2,20
1,9,0,-79,1,1,3,2,2,2
1,18,0,78,1,1,3,1,2,20
0,3,0,-78,0,0,2,1,2,2
0,3,1,78,0,0,2,1,2,20
0,3,2,-78,0,0,2,1,2,1
0,3,3,78,0,0,2,1,2,19
1,3,0,-75,0,0,2,1,2,4
1,33,0,74,1,1,2,1,1,18
1,27,0,-47,0,0,2,1,0,4
0,20,0,47,1,1,2,0,0,18
0,20,1,-47,1,1,2,0,0,4
0,20,2,47,1,1,2,0,0,17
1,20,0,-48,1,1,2,0,0,6
0,4,0,48,0,0,1,0,0,16
0,4,1,-48,0,1,1,0,0,6
0,4,2,48,0,0,1,0,0,15
0,4,3,-48,0,1,1,0,0,5
0,4,4,48,0,0,1,0,0,14
1,4,0,-48,0,1,1,0,0,9
0,11,0,48,0,1,0,0,0,13
0,11,1,-48,1,1,0,0,0,9
0,11,2,48,0,1,0,0,0,12
1,4,0,4,0,0,7,9,7,11
1,23,0,19,0,0,7,8,7,11
1,30,0,11,0,0,7,8,6,11
0,11,0,-11,0,0,6,8,6,11
0,11,1,11,0,0,6,8,6,11
1,11,0,0,0,0,6,8,6,12
0,34,0,0,0,0,6,8,5,10
0,34,1,0,0,0,6,8,5,12
0,34,2,0,0,0,6,8,5,9
1,34,0,34,0,0,6,8,5,14
1,16,0,-18,0,0,6,7,5,8
0,12,0,18,0,0,5,7,5,14
0,12,1,-18,0,0,5,7,5,8
0,12,2,18,0,0,5,7,5,13
1,12,0,-6,0,0,5,7,5,10
0,32,0,6,0,1,5,7,4,12
0,32,1,-6,0,1,5,7,4,10
0,32,2,6,0,1,5,7,4,11
1,32,0,26,0,1,5,7,4,12
1,19,0,-7,0,0,5,6,4,10
0,25,0,7,0,0,5,5,4,12
1,25,0,18,0,1,5,5,4,11
0,26,0,-18,0,0,5,5,3,11
0,26,1,18,1,1,5,5,3,11
0,26,2,-18,0,0,5,5,3,10
0,26,3,18,1,1,5,5,3,10
0,26,4,-18,0,0,5,5,3,9
0,26,5,18,1,1,5,5,3,9
0,26,6,-18,0,0,5,5,3,8
0,26,7,18,1,1,5,5,3,8
1,26,0,8,0,0,5,5,3,15
0,27,0,-8,0,1,5,5,2,7
0,27,1,8,1,1,5,5,2,15
0,27,2,-8,0,1,5,5,2,6
1,27,0,8,1,1,5,5,2,17
0,20,0,-8,1,1,5,4,2,5
1,20,0,28,0,0,5,4,2,18
0,7,0,-28,0,0,4,4,2,4
0,7,1,28,0,0,4,4,2,18
0,7,2,-28,0,0,4,4,2,3
1,7,0,35,0,0,4,4,2,20
0,15,0,-35,0,0,4,3,2,2
1,15,0,34,1,1,4,3,2,21
0,17,0,-34,0,1,4,2,2,1
1,17,0,34,1,1,4,2,2,22
0,3,0,-34,0,0,3,2,2,0
1,3,0,-31,0,0,3,2,2,0
0,10,0,31,0,1,2,2,2,22
1,10,0,-32,1,1,2,2,2,1
0,28,0,32,1,1,2,2,1,21
1,28,0,-4,0,0,2,2,1,2
0,22,0,4,0,1,2,1,1,20
1,22,0,-5,1,1,2,1,1,3
0,24,0,5,0,1,2,0,1,19
0,24,1,-5,1,1,2,0,1,3
0,24,2,5,0,1,2,0,1,18
0,24,3,-5,1,1,2,0,1,2
0,24,4,5,0,1,2,0,1,17
0,24,5,-5,1,1,2,0,1,1
0,24,6,5,0,1,2,0,1,16
0,24,7,-5,1,1,2,0,1,0
1,24,0,-30,1,1,2,0,1,7
0,9,0,30,0,1,1,0,1,15
1,9,0,-31,1,1,1,0,1,8
0,31,0,31,1,1,1,0,0,14
1,31,0,0,0,0,1,0,0,9
0,14,0,0,1,1,0,0,0,13
0,14,1,0,0,0,0,0,0,9
